# Reachability Cut:  0.001245453
# Number of resulting clusters (excludtion misc. cluster):  20
# Number of clusters in misc. cluster:  123
# Size of the misc. cluster:  1056
# Clusters: 
cluster_sizes cluster_numbers
25961 1
17529 6
9130 80
4442 71
1844 37
953 36
249 137
171 135
143 136
117 134
115 139
75 138
64 45
57 66
56 41
55 2
51 84
45 26
42 86
40 3
# Misc. Cluster Contents: 
cluster_sizes cluster_numbers
36 118
35 98
30 21
29 39
28 104
27 40
25 92
23 103
21 126
20 53
18 29
18 19
16 133
15 142
15 107
15 83
15 43
15 14
14 119
14 57
14 12
13 90
13 58
13 48
13 25
12 55
11 111
11 17
11 8
11 7
10 70
10 46
10 23
10 18
9 110
9 88
9 74
9 68
9 63
9 33
9 30
8 140
8 124
8 67
8 49
8 44
8 34
8 32
8 4
7 143
7 125
7 116
7 87
7 75
7 65
7 56
7 50
7 9
6 141
6 114
6 108
6 101
6 96
6 95
6 91
6 76
6 73
6 72
6 64
6 54
6 28
6 24
6 16
6 15
5 132
5 130
5 128
5 120
5 117
5 115
5 113
5 93
5 79
5 42
5 22
5 20
5 13
5 11
5 10
4 123
4 109
4 106
4 102
4 100
4 82
4 78
4 77
4 69
4 61
4 60
4 51
4 38
4 31
4 27
3 131
3 129
3 122
3 105
3 99
3 97
3 89
3 85
3 62
3 47
2 127
2 121
2 112
2 94
2 81
1 59
1 52
1 35
1 5
