# Mother Cluster: 
# Cluster size: 2703
# Cluster nr: 1
# At Cut: 0.00061951323126
# Number of Children (surviving cluster size threshold): 13
# Number of Clusters in misc. cluster: 83
# ...totalling in 38.5 % of mothers size
Children clusters: 
cluster_sizes cluster_numbers
178 1
160 36
115 63
113 6
96 92
87 8
76 15
70 52
62 73
62 37
53 67
44 79
39 72
filtered clusters: 
cluster_sizes cluster_numbers
35 61
34 4
32 54
30 76
29 33
28 9
27 62
26 64
24 95
24 58
24 46
24 31
23 43
21 60
19 66
18 17
17 80
17 40
17 21
16 45
16 32
15 94
15 71
15 50
15 2
14 55
13 96
13 25
13 22
12 85
12 70
11 87
11 65
11 53
11 51
11 35
11 29
11 26
10 86
10 81
10 69
10 24
10 18
10 10
9 93
9 57
9 39
9 38
9 28
9 20
9 19
9 12
9 3
8 13
8 11
7 89
7 78
7 77
7 74
7 59
7 48
7 44
7 42
7 14
7 5
6 84
6 83
6 82
6 75
6 47
6 34
6 16
6 7
5 91
5 90
5 88
5 68
5 56
5 49
5 41
5 30
5 27
5 23
