# Mother Cluster: 
# Cluster size: 4121
# Cluster nr: 5
# At Cut: 0.00094654428
# Number of Children (surviving cluster size threshold): 20
# Number of Clusters in misc. cluster: 62
# ...totalling in 20.2 % of mothers size
Children clusters: 
cluster_sizes cluster_numbers
961 329
273 375
179 353
175 388
169 391
165 339
143 342
143 341
136 407
99 404
93 346
82 389
74 345
59 338
54 398
53 392
51 409
45 330
41 332
37 361
filtered clusters: 
cluster_sizes cluster_numbers
34 405
33 359
31 373
29 401
28 355
27 376
27 365
26 402
26 385
26 356
25 383
25 343
22 386
21 390
20 337
19 336
17 358
16 400
16 377
16 362
14 395
14 394
14 384
14 382
14 379
14 367
13 350
13 349
13 344
12 360
12 354
11 408
9 381
9 380
8 410
8 387
8 371
8 368
8 334
7 403
7 357
7 347
7 340
7 335
7 333
6 406
6 397
6 396
6 393
6 374
6 364
6 363
5 399
5 378
5 372
5 370
5 369
5 366
5 352
5 351
5 348
5 331
