# Mother Cluster: 
# Cluster size: 4829
# Cluster nr: 61
# At Cut: 0.00105863505
# Number of Children (surviving cluster size threshold): 12
# Number of Clusters in misc. cluster: 106
# ...totalling in 25.2 % of mothers size
Children clusters: 
cluster_sizes cluster_numbers
1464 826
134 870
126 845
118 856
109 851
98 926
85 879
75 862
73 881
73 844
37 882
37 868
filtered clusters: 
cluster_sizes cluster_numbers
36 858
35 839
34 892
34 836
31 837
29 928
28 909
26 924
23 885
20 935
20 910
20 863
20 852
19 923
19 896
19 888
19 875
19 833
18 876
17 943
17 929
17 877
16 869
15 941
15 921
14 927
14 915
14 894
14 878
14 842
13 939
13 931
13 911
13 886
13 846
12 918
12 916
12 902
12 890
12 884
12 866
11 912
11 893
11 849
11 847
10 897
10 864
10 838
9 904
9 901
9 880
9 860
9 831
8 920
8 903
8 883
8 873
8 872
8 828
7 938
7 919
7 914
7 906
7 905
7 900
7 874
7 867
7 857
7 850
7 835
7 834
6 933
6 930
6 925
6 913
6 907
6 899
6 895
6 891
6 889
6 871
6 865
6 861
6 859
6 843
6 832
6 829
5 942
5 940
5 937
5 936
5 934
5 932
5 922
5 917
5 908
5 898
5 887
5 855
5 854
5 853
5 848
5 841
5 840
5 830
5 827
