# Mother Cluster: 
# Cluster size: 25961
# Cluster nr: 1
# At Cut: 0.001245453
# Number of Children (surviving cluster size threshold): 20
# Number of Clusters in misc. cluster: 62
# ...totalling in 2.5 % of mothers size
Children clusters: 
cluster_sizes cluster_numbers
14183 1
4121 5
1705 70
1033 12
668 13
596 28
534 48
488 37
351 35
163 20
163 15
143 3
123 21
116 50
92 9
90 52
59 81
49 71
42 44
41 14
filtered clusters: 
cluster_sizes cluster_numbers
30 10
29 29
28 73
28 24
26 6
22 79
20 59
20 58
20 34
20 30
19 69
19 7
17 55
17 53
16 11
15 54
15 22
13 72
13 57
12 76
12 23
11 65
11 45
11 41
10 32
9 74
9 64
9 31
9 17
8 77
8 47
8 2
7 60
7 39
6 82
6 67
6 51
6 46
6 43
6 42
6 38
6 36
6 25
6 19
5 78
5 75
5 66
5 63
5 56
5 8
5 4
4 68
4 61
4 40
4 33
4 26
3 80
3 49
3 27
2 62
1 18
1 16
