# Mother Cluster: 
# Cluster size: 4442
# Cluster nr: 71
# At Cut: 0.001245453
# Number of Children (surviving cluster size threshold): 7
# Number of Clusters in misc. cluster: 121
# ...totalling in 26.7 % of mothers size
Children clusters: 
cluster_sizes cluster_numbers
1315 1365
113 1376
89 1393
63 1371
48 1379
43 1364
41 1443
filtered clusters: 
cluster_sizes cluster_numbers
33 1392
33 1374
32 1381
24 1454
24 1439
23 1399
22 1432
20 1402
19 1445
18 1441
18 1414
17 1489
17 1451
17 1411
15 1485
14 1416
14 1400
14 1394
14 1383
14 1380
14 1373
14 1366
13 1482
13 1448
13 1440
13 1413
13 1403
13 1395
12 1473
12 1467
12 1465
12 1446
11 1474
11 1447
11 1408
11 1404
11 1401
10 1488
10 1484
10 1480
10 1466
10 1456
10 1455
10 1442
10 1421
10 1417
10 1375
9 1487
9 1452
9 1435
9 1431
9 1430
9 1420
9 1382
9 1377
9 1368
8 1478
8 1476
8 1470
8 1468
8 1462
8 1460
8 1457
8 1449
8 1437
8 1387
8 1384
8 1369
7 1491
7 1475
7 1472
7 1458
7 1436
7 1428
7 1422
7 1409
7 1406
7 1397
7 1385
6 1490
6 1483
6 1471
6 1464
6 1463
6 1461
6 1450
6 1444
6 1434
6 1388
6 1378
6 1372
6 1370
5 1486
5 1481
5 1479
5 1477
5 1469
5 1459
5 1453
5 1438
5 1433
5 1429
5 1427
5 1426
5 1425
5 1424
5 1423
5 1419
5 1418
5 1415
5 1412
5 1410
5 1407
5 1405
5 1398
5 1396
5 1391
5 1390
5 1389
5 1386
5 1367
