# Mother Cluster: 
# Cluster size: 9130
# Cluster nr: 80
# At Cut: 0.001245453
# Number of Children (surviving cluster size threshold): 19
# Number of Clusters in misc. cluster: 108
# ...totalling in 13 % of mothers size
Children clusters: 
cluster_sizes cluster_numbers
4520 588
344 511
211 605
96 591
96 510
90 589
88 549
84 508
66 590
63 551
60 574
59 559
46 547
45 530
42 534
40 563
40 532
38 546
37 592
filtered clusters: 
cluster_sizes cluster_numbers
35 543
33 509
32 512
29 593
29 573
29 545
28 518
26 529
26 517
25 619
25 599
23 557
21 539
21 538
21 502
20 617
20 568
20 507
19 544
18 554
17 570
17 560
17 525
16 579
16 540
16 535
16 516
14 600
14 565
13 594
12 616
12 615
12 580
12 576
12 537
12 504
11 618
11 552
11 550
11 501
10 625
10 606
10 603
10 528
9 595
9 584
9 582
9 556
9 513
9 505
8 622
8 609
8 607
8 581
8 578
8 567
8 548
8 526
7 623
7 604
7 602
7 577
7 571
7 542
7 541
7 536
7 531
7 523
6 621
6 620
6 597
6 596
6 562
6 533
6 520
6 503
5 624
5 612
5 611
5 608
5 601
5 586
5 583
5 572
5 564
5 561
5 553
5 524
5 521
5 515
5 514
5 500
4 614
4 613
4 598
4 587
4 585
4 569
4 566
4 558
4 555
4 527
4 522
4 506
3 610
3 575
2 626
2 519
